,Rank,Player,Name,Price,Link,TournamentIdx
49,6,Airan Reina,Izzet Prowess,424.0,https://mtgtop8.com/event?e=82011&d=823312&f=ST,5
50,7,Daniel Fior,Izzet Prowess,412.0,https://mtgtop8.com/event?e=82011&d=823313&f=ST,5
51,8,Jordi Carrasco,Izzet Spellementals,289.0,https://mtgtop8.com/event?e=82011&d=823314&f=ST,5
52,1,Beenew,Izzet Prowess,409.0,https://mtgtop8.com/event?e=82260&d=825188&f=ST,6
53,2,Jiaohongchen,Izzet Aggro,409.0,https://mtgtop8.com/event?e=82260&d=825189&f=ST,6
54,3,Chang Zheng,Izzet Pixie,618.0,https://mtgtop8.com/event?e=82260&d=825190&f=ST,6
55,4,Yang Shi,Temur Otters,413.0,https://mtgtop8.com/event?e=82260&d=825191&f=ST,6
56,5,Tan Gao,Bant Rhythm,952.0,https://mtgtop8.com/event?e=82260&d=825193&f=ST,6
57,6,"Hei Wo, Johnathan Ng",Mono-green Landfall,606.0,https://mtgtop8.com/event?e=82260&d=825195&f=ST,6
58,7,Eijunchn,Temur Harmonizer,318.0,https://mtgtop8.com/event?e=82260&d=825192&f=ST,6
59,8,Ying Zhehao,Temur Prowess,420.0,https://mtgtop8.com/event?e=82260&d=825194&f=ST,6
60,1,Austin Graham,Temur Harmonizer,305.0,https://mtgtop8.com/event?e=81988&d=823150&f=ST,7
61,2,Evan Vetter,Izzet Blink,746.0,https://mtgtop8.com/event?e=81988&d=823151&f=ST,7
62,3,Eric Kubo,4c Elementals,888.0,https://mtgtop8.com/event?e=81988&d=823153&f=ST,7
63,4,Will Krueger,Izzet Lessons,502.0,https://mtgtop8.com/event?e=81988&d=823152&f=ST,7
64,5,Kris Hamann,Izzet Prowess,422.0,https://mtgtop8.com/event?e=81988&d=823157&f=ST,7
65,6,Derrick Davis,Izzet Spellementals,328.0,https://mtgtop8.com/event?e=81988&d=823155&f=ST,7
66,7,Russell Wilson,Simic Cub,1010.0,https://mtgtop8.com/event?e=81988&d=823154&f=ST,7
67,8,Grayson Nemets,Simic Cub,1062.0,https://mtgtop8.com/event?e=81988&d=823156&f=ST,7
68,1,Richmond Tan,Roaming Elementals,923.0,https://mtgtop8.com/event?e=81972&d=823052&f=ST,8
69,2,Mark Lawrence Tubola,Superior Doomsday ,587.0,https://mtgtop8.com/event?e=81972&d=823053&f=ST,8
70,3,Paul Gabat,Golgari Aggro,674.0,https://mtgtop8.com/event?e=81972&d=823054&f=ST,8
71,4,Marco Philip Serafica,Reanimator,1001.0,https://mtgtop8.com/event?e=81972&d=823055&f=ST,8
72,5,Claire Tian,Boros Aggro,347.0,https://mtgtop8.com/event?e=81972&d=823056&f=ST,8
73,6,Timothy Chang,Boros Aggro,368.0,https://mtgtop8.com/event?e=81972&d=823058&f=ST,8
74,7,131billy,Izzet Lesson,561.0,https://mtgtop8.com/event?e=81972&d=823059&f=ST,8
75,8,William Au,Roaming Elementals,734.0,https://mtgtop8.com/event?e=81972&d=823057&f=ST,8
76,9,Daston Lam,Azorius Aggro,582.0,https://mtgtop8.com/event?e=81972&d=823060&f=ST,8
77,10,Chch,Gruul Aggro,247.0,https://mtgtop8.com/event?e=81972&d=823066&f=ST,8
78,11,Sentriplets,Izzet Lesson,564.0,https://mtgtop8.com/event?e=81972&d=823063&f=ST,8
79,12,Mtgholic,Izzet Prowess,419.0,https://mtgtop8.com/event?e=81972&d=823061&f=ST,8
80,13,Anthony Cuello,Izzet Prowess,419.0,https://mtgtop8.com/event?e=81972&d=823064&f=ST,8
81,14,Dmtai,Mono Green Landfall,617.0,https://mtgtop8.com/event?e=81972&d=823062&f=ST,8
82,15,Venom1,Mono Green Landfall,612.0,https://mtgtop8.com/event?e=81972&d=823065&f=ST,8
83,16,Weng Heng Soh,Mono Green Landfall,608.0,https://mtgtop8.com/event?e=81972&d=823067&f=ST,8
84,1,Arnaud	Vilain,Weenie White,224.0,https://mtgtop8.com/event?e=81806&d=821743&f=ST,9
85,2,Timothée Blondiaux,Mono-green Landfall,611.0,https://mtgtop8.com/event?e=81806&d=821742&f=ST,9
86,3,Malo Willefert,Mono Green Landfall,687.0,https://mtgtop8.com/event?e=81806&d=821741&f=ST,9
87,4,Cameron	Cissé,Spellmental,271.0,https://mtgtop8.com/event?e=81806&d=821740&f=ST,9
88,5,Quentin Mathieu,Boros Aggro,610.0,https://mtgtop8.com/event?e=81806&d=821739&f=ST,9
89,6,Adrien Penard,Izzet Prowess,428.0,https://mtgtop8.com/event?e=81806&d=821736&f=ST,9
90,7,Antoine	Rebeyre,Mono Green Landfall,609.0,https://mtgtop8.com/event?e=81806&d=821738&f=ST,9
91,8,Justien Balay,Weenie White,264.0,https://mtgtop8.com/event?e=81806&d=821737&f=ST,9
92,1,Ma Noah,Simic Nature's Rhythm,1025.0,https://mtgtop8.com/event?e=81886&d=822348&f=ST,10
93,2,Tase Yuya,Weenie White ,283.0,https://mtgtop8.com/event?e=81886&d=822349&f=ST,10
94,3,Horiuchi Makoto,Izzet Prowess,519.0,https://mtgtop8.com/event?e=81886&d=822350&f=ST,10
95,4,Masakuni Hamaguchi,Mono Green Landfall,589.0,https://mtgtop8.com/event?e=81886&d=822351&f=ST,10
96,5,Onoda Kenji,Izzet Lesson,605.0,https://mtgtop8.com/event?e=81886&d=822353&f=ST,10
97,6,Kento Izumi,Mono Green Landfall,621.0,https://mtgtop8.com/event?e=81886&d=822352&f=ST,10
98,7,Atsushi Nakashima,Mono Green Landfall,622.0,https://mtgtop8.com/event?e=81886&d=822354&f=ST,10
99,8,Koki Hara,Simic Nature's Rhythm,1002.0,https://mtgtop8.com/event?e=81886&d=822355&f=ST,10
100,9,Kazutaka Oya,Izzet Lesson,648.0,https://mtgtop8.com/event?e=81886&d=822357&f=ST,10
101,10,Keisuke Kirito,Izzet Lesson,554.0,https://mtgtop8.com/event?e=81886&d=822359&f=ST,10
102,11,Ryouta Mishina,Izzet Prowess,536.0,https://mtgtop8.com/event?e=81886&d=822356&f=ST,10
103,12,Masataka Hori,Izzet Prowess,468.0,https://mtgtop8.com/event?e=81886&d=822358&f=ST,10
104,13,Alexander Von Stange,Izzet Prowess,404.0,https://mtgtop8.com/event?e=81886&d=822360&f=ST,10
105,14,Takuya Hasegawa,Izzet Prowess,411.0,https://mtgtop8.com/event?e=81886&d=822362&f=ST,10
106,15,Ruki,Izzet Prowess,431.0,https://mtgtop8.com/event?e=81886&d=822363&f=ST,10
107,16,Manato Hosomi,Mono Green Landfall,579.0,https://mtgtop8.com/event?e=81886&d=822361&f=ST,10
108,17,Yuki Wada,Boros Aggro,292.0,https://mtgtop8.com/event?e=81886&d=822365&f=ST,10
109,18,Nakatatsuyoshi,Dimir Aggro,529.0,https://mtgtop8.com/event?e=81886&d=822379&f=ST,10
110,19,Kazuhiro Nakamura,Izzet Lesson,561.0,https://mtgtop8.com/event?e=81886&d=822369&f=ST,10
